From,Entry,Reviewed,Entry Name,Protein names,Protein names1,Gene Names,Organism,Length,biological_process,cellular_component,molecular_function,Intramembrane,Subcellular location [CC],Transmembrane,Topological domain,Annotation
Q8DW01,Q8DW01,unreviewed,Q8DW01_STRMU,Transketolase (EC 2.2.1.1),Transketolase ,tkt SMU_291,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),658,pentose-phosphate shunt [GO:0006098],cytosol [GO:0005829],metal ion binding [GO:0046872]; transketolase activity [GO:0004802],,,,,3
I6L8Y7,I6L8Y7,unreviewed,I6L8Y7_STRMU,"Alpha,alpha-phosphotrehalase (EC 3.2.1.93)","Alpha,alpha-phosphotrehalase ",treA SMU_2037,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),542,trehalose catabolic process [GO:0005993],cytoplasm [GO:0005737],"alpha,alpha-phosphotrehalase activity [GO:0008788]; alpha-amylase activity [GO:0004556]",,,,,2
O06941,O06941,reviewed,GRPE_STRMU,Protein GrpE (HSP-70 cofactor),Protein GrpE ,grpE SMU_81,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),179,protein folding [GO:0006457],cytoplasm [GO:0005737],adenyl-nucleotide exchange factor activity [GO:0000774]; protein homodimerization activity [GO:0042803]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01151}.,,,2
Q59931,Q59931,reviewed,GAPN_STRMU,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.9) (Glyceraldehyde-3-phosphate dehydrogenase [NADP(+)]) (Non-phosphorylating glyceraldehyde 3-phosphate dehydrogenase) (Triosephosphate dehydrogenase),NADP-dependent glyceraldehyde-3-phosphate dehydrogenase ,gapN SMU_676,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),475,,,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity [GO:0008886]; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity [GO:0047100]; lactaldehyde dehydrogenase (NAD+) activity [GO:0008911],,,,,3
I6L912,I6L912,unreviewed,I6L912_STRMU,Amino acid binding protein,Amino acid binding protein,SMU_1942c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),267,,,,,,,,1
P59186,P59186,reviewed,RS3_STRMU,Small ribosomal subunit protein uS3 (30S ribosomal protein S3),Small ribosomal subunit protein uS3 ,rpsC rs3 SMU_2021,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),217,translation [GO:0006412],cytosolic small ribosomal subunit [GO:0022627],mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DSN4,Q8DSN4,unreviewed,Q8DSN4_STRMU,Trans-2-enoyl-ACP reductase,Trans-2-enoyl-ACP reductase,SMU_1742c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),321,,,nitronate monooxygenase activity [GO:0018580],,,,,1
Q8DWM7,Q8DWM7,unreviewed,Q8DWM7_STRMU,ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-),ATP-dependent zinc metalloprotease FtsH ,ftsH SMU_15,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),656,cell division [GO:0051301]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508],plasma membrane [GO:0005886],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|HAMAP-Rule:MF_01458}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01458}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_01458}. Membrane {ECO:0000256|ARBA:ARBA00004370}.,"TRANSMEM 13..31; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_01458""; TRANSMEM 132..155; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_01458""",,3
P95789,P95789,reviewed,ATPB_STRMU,ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),ATP synthase subunit beta ,atpD atpB SMU_1528,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),468,,"plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]",,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01347}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01347}.,,,3
Q8DU30,Q8DU30,reviewed,RS20_STRMU,Small ribosomal subunit protein bS20 (30S ribosomal protein S20),Small ribosomal subunit protein bS20 ,rpsT SMU_1127,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),78,translation [GO:0006412],cytosol [GO:0005829]; small ribosomal subunit [GO:0015935],small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DVQ8,Q8DVQ8,unreviewed,Q8DVQ8_STRMU,Hit-like protein involved in cell-cycle regulation,Hit-like protein involved in cell-cycle regulation,SMU_412c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),139,nucleotide metabolic process [GO:0009117],,catalytic activity [GO:0003824]; metal ion binding [GO:0046872],,,,,1
Q8DSC2,Q8DSC2,unreviewed,Q8DSC2_STRMU,"PTS system, mannose-specific component IID (EC 2.7.1.69)","PTS system, mannose-specific component IID ",SMU_1879,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),308,phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401],membrane [GO:0016020],transferase activity [GO:0016740],,,"TRANSMEM 126..150; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 187..207; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 265..282; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 289..307; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,1
Q8DST6,Q8DST6,reviewed,UPP_STRMU,Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase),Uracil phosphoribosyltransferase ,upp SMU_1673,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),209,UMP salvage [GO:0044206]; uracil salvage [GO:0006223],,GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845],,,,,3
Q8DT54,Q8DT54,unreviewed,Q8DT54_STRMU,Glycogen biosynthesis protein GlgD,Glycogen biosynthesis protein GlgD,glgD SMU_1537,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),377,glycogen biosynthetic process [GO:0005978],,glucose-1-phosphate adenylyltransferase activity [GO:0008878],,,,,1
Q8DVX9,Q8DVX9,reviewed,SYE_STRMU,Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS),Glutamate--tRNA ligase ,gltX SMU_330,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),485,glutamyl-tRNA aminoacylation [GO:0006424],cytosol [GO:0005829],ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00022}.,,,3
Q8DS30,Q8DS30,reviewed,RL30_STRMU,Large ribosomal subunit protein uL30 (50S ribosomal protein L30),Large ribosomal subunit protein uL30 ,rpmD SMU_2008,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),60,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],structural constituent of ribosome [GO:0003735],,,,,2
Q8DVY7,Q8DVY7,reviewed,DAPH_STRMU,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89) (Tetrahydrodipicolinate N-acetyltransferase) (THP acetyltransferase) (Tetrahydropicolinate acetylase)","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase ",dapH SMU_317,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),232,diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089],,tetrahydrodipicolinate N-acetyltransferase activity [GO:0047200],,,,,2
Q8DTE9,Q8DTE9,unreviewed,Q8DTE9_STRMU,Transcriptional regulator,Transcriptional regulator,SMU_1398,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),284,,,DNA binding [GO:0003677],,,,,1
Q8DS20,Q8DS20,reviewed,RL16_STRMU,Large ribosomal subunit protein uL16 (50S ribosomal protein L16),Large ribosomal subunit protein uL16 ,rplP SMU_2020,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),137,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049],,,,,2
Q8DS16,Q8DS16,reviewed,RL3_STRMU,Large ribosomal subunit protein uL3 (50S ribosomal protein L3),Large ribosomal subunit protein uL3 ,rplC SMU_2025,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),208,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,2
I6L8Z3,I6L8Z3,unreviewed,I6L8Z3_STRMU,Response regulator GcrR for glucan-binding protein C,Response regulator GcrR for glucan-binding protein C,gcrR SMU_1924,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),230,regulation of DNA-templated transcription [GO:0006355],cytosol [GO:0005829]; protein-DNA complex [GO:0032993],phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,,2
Q8DVH8,Q8DVH8,unreviewed,Q8DVH8_STRMU,Lipoprotein,Lipoprotein,SMU_510c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),211,,extracellular region [GO:0005576],,,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,,,1
P11701,P11701,reviewed,LSC_STRMU,Levansucrase (EC 2.4.1.10) (Beta-D-fructofuranosyl transferase) (Fructosyltransferase) (FTF) (Sucrose 6-fructosyl transferase),Levansucrase ,ftf sacB SMU_2028,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),795,carbohydrate utilization [GO:0009758],cell surface [GO:0009986]; plasma membrane [GO:0005886],levansucrase activity [GO:0050053]; metal ion binding [GO:0046872],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000255}; Extracellular side {ECO:0000305}. Cell surface {ECO:0000250|UniProtKB:Q55242}.,"TRANSMEM 774..794; /note=""Helical""; /evidence=""ECO:0000255""",,4
Q8DSY1,Q8DSY1,reviewed,PYRH_STRMU,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK),Uridylate kinase ,pyrH SMU_1625,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),245,'de novo' CTP biosynthetic process [GO:0044210]; phosphorylation [GO:0016310]; UDP biosynthetic process [GO:0006225],cytoplasm [GO:0005737],ATP binding [GO:0005524]; UMP kinase activity [GO:0033862],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01220}.,,,3
Q8DTM1,Q8DTM1,reviewed,NOAT_STRMU,Asparagine--oxo-acid transaminase (EC 2.6.1.14) (Asparagine:2-oxoglutarate aminotransferase),Asparagine--oxo-acid transaminase ,aspB SMU_1312,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),393,amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058],,asparagine-oxo-acid transaminase activity [GO:0047297]; pyridoxal phosphate binding [GO:0030170],,,,,3
Q8DWD6,Q8DWD6,unreviewed,Q8DWD6_STRMU,Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1),Pyruvate dehydrogenase E1 component subunit beta ,adhB SMU_128,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),337,,,catalytic activity [GO:0003824],,,,,2
Q8DRT7,Q8DRT7,reviewed,ILVD_STRMU,Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9),Dihydroxy-acid dehydratase ,ilvD SMU_2128,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),571,isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099],,"2 iron, 2 sulfur cluster binding [GO:0051537]; dihydroxy-acid dehydratase activity [GO:0004160]; magnesium ion binding [GO:0000287]",,,,,3
Q8DS19,Q8DS19,reviewed,RL22_STRMU,Large ribosomal subunit protein uL22 (50S ribosomal protein L22),Large ribosomal subunit protein uL22 ,rplV rl22 SMU_2022,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),114,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DTA9,Q8DTA9,unreviewed,Q8DTA9_STRMU,Rqc2 homolog RqcH (RqcH),Rqc2 homolog RqcH ,rqcH SMU_1449,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),549,rescue of stalled ribosome [GO:0072344],RQC complex [GO:1990112],ribosomal large subunit binding [GO:0043023]; tRNA binding [GO:0000049],,,,,2
Q8DRR2,Q8DRR2,unreviewed,Q8DRR2_STRMU,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205),Inosine-5'-monophosphate dehydrogenase ,guaB SMU_2157,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),493,GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183],,IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166],,,,,3
Q8DVI8,Q8DVI8,unreviewed,Q8DVI8_STRMU,Ribosome hibernation promoting factor (HPF),Ribosome hibernation promoting factor ,hpf SMU_500,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),182,negative regulation of translational elongation [GO:0045900],cytosolic small ribosomal subunit [GO:0022627],ribosomal small subunit binding [GO:0043024],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00839}.,,,2
P66531,P66531,reviewed,RS21_STRMU,Small ribosomal subunit protein bS21 (30S ribosomal protein S21),Small ribosomal subunit protein bS21 ,rpsU SMU_818,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),58,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],structural constituent of ribosome [GO:0003735],,,,,2
Q8DW41,Q8DW41,unreviewed,Q8DW41_STRMU,Band 7 domain-containing protein,Band 7 domain-containing protein,SMU_235,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),295,,,,,,,,1
Q8DUR5,Q8DUR5,unreviewed,Q8DUR5_STRMU,Glutathione reductase (EC 1.8.1.7),Glutathione reductase ,gshR SMU_838,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),450,cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; glutathione metabolic process [GO:0006749],cytosol [GO:0005829],flavin adenine dinucleotide binding [GO:0050660]; glutathione-disulfide reductase (NADPH) activity [GO:0004362]; NADP binding [GO:0050661],,,,,2
Q8DVE3,Q8DVE3,reviewed,MURD_STRMU,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase),UDP-N-acetylmuramoylalanine--D-glutamate ligase ,murD SMU_548,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),451,cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360],cytoplasm [GO:0005737],ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00639}.,,,3
P72478,P72478,reviewed,PUR8_STRMU,Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase),Adenylosuccinate lyase ,purB SMU_59,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),432,'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189],cytosol [GO:0005829],"(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]",,,,,3
Q8CZF1,Q8CZF1,unreviewed,Q8CZF1_STRMU,Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1),Pyruvate dehydrogenase E1 component beta subunit ,pdhB SMU_1422,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),343,,,pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739],,,,,1
Q8DVD3,Q8DVD3,reviewed,SYI_STRMU,Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS),Isoleucine--tRNA ligase ,ileS SMU_558,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),930,isoleucyl-tRNA aminoacylation [GO:0006428],cytosol [GO:0005829],aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_02002}.,,,3
Q8DUL2,Q8DUL2,unreviewed,Q8DUL2_STRMU,Glutamate dehydrogenase,Glutamate dehydrogenase,SMU_913,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),449,glutamate biosynthetic process [GO:0006537],cytosol [GO:0005829],glutamate dehydrogenase (NAD+) activity [GO:0004352]; glutamate dehydrogenase (NADP+) activity [GO:0004354]; nucleotide binding [GO:0000166],,,,,2
Q8DTN9,Q8DTN9,unreviewed,Q8DTN9_STRMU,Flavodoxin,Flavodoxin,flaW SMU_1294,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),147,,,electron transfer activity [GO:0009055]; FMN binding [GO:0010181],,,,,2
Q8DSN6,Q8DSN6,unreviewed,Q8DSN6_STRMU,3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179),3-oxoacyl-[acyl-carrier-protein] synthase 2 ,fabF SMU_1739,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),410,fatty acid biosynthetic process [GO:0006633],cytosol [GO:0005829],3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315],,,,,2
Q8DTB5,Q8DTB5,unreviewed,Q8DTB5_STRMU,DUF1307 domain-containing protein,DUF1307 domain-containing protein,SMU_1442c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),183,,membrane [GO:0016020],,,,"TRANSMEM 12..29; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,1
Q8DTY0,Q8DTY0,reviewed,GLMS_STRMU,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase),Glutamine--fructose-6-phosphate aminotransferase [isomerizing] ,glmS SMU_1187,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),604,carbohydrate metabolic process [GO:0005975]; fructose 6-phosphate metabolic process [GO:0006002]; glutamine metabolic process [GO:0006541]; protein N-linked glycosylation [GO:0006487]; UDP-N-acetylglucosamine metabolic process [GO:0006047],cytosol [GO:0005829],carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00164}.,,,3
Q8DS33,Q8DS33,reviewed,KAD_STRMU,Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase),Adenylate kinase ,adk SMU_2005,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),212,AMP salvage [GO:0044209]; nucleoside diphosphate metabolic process [GO:0009132]; phosphorylation [GO:0016310],cytosol [GO:0005829],adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00235}.,,,3
Q8DUV8,Q8DUV8,reviewed,AROA_STRMU,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),3-phosphoshikimate 1-carboxyvinyltransferase ,aroA SMU_784,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),427,amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423],cytoplasm [GO:0005737],3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00210}.,,,3
Q8DUV4,Q8DUV4,reviewed,Y788_STRMU,Uncharacterized RNA methyltransferase SMU_788 (EC 2.1.1.-),Uncharacterized RNA methyltransferase SMU_788 ,SMU_788,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),451,rRNA base methylation [GO:0070475],,rRNA (uridine-C5-)-methyltransferase activity [GO:0070041],,,,,2
P66474,P66474,reviewed,RS18_STRMU,Small ribosomal subunit protein bS18 (30S ribosomal protein S18),Small ribosomal subunit protein bS18 ,rpsR rs18 SMU_1858,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),79,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DVX6,Q8DVX6,unreviewed,Q8DVX6_STRMU,MFS transporter,MFS transporter,SMU_333,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),411,,membrane [GO:0016020],,,,"TRANSMEM 103..122; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 128..147; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 154..176; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,1
Q8DSZ9,Q8DSZ9,unreviewed,Q8DSZ9_STRMU,NAD(P)H-flavin oxidoreductase,NAD,SMU_1602,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),221,"2,4,6-trinitrotoluene catabolic process [GO:0046256]",cytosol [GO:0005829],oxidoreductase activity [GO:0016491],,,,,1
Q8DUA0,Q8DUA0,unreviewed,Q8DUA0_STRMU,Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase),Phosphate acetyltransferase ,SMU_1043c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),331,,,acetyltransferase activity [GO:0016407],,,,,2
Q8DSL1,Q8DSL1,reviewed,SYV_STRMU,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),Valine--tRNA ligase ,valS SMU_1770,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),883,valyl-tRNA aminoacylation [GO:0006438],cytosol [GO:0005829],aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; valine-tRNA ligase activity [GO:0004832],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_02004}.,,,3
Q8DW32,Q8DW32,unreviewed,Q8DW32_STRMU,"ABC transporter, ATP-binding protein","ABC transporter, ATP-binding protein",SMU_247,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),256,,membrane [GO:0016020],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004202}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004202}.,,,1
Q8DSJ9,Q8DSJ9,reviewed,SYP_STRMU,Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS),Proline--tRNA ligase ,proS SMU_1783,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),616,prolyl-tRNA aminoacylation [GO:0006433],cytosol [GO:0005829],aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; transferase activity [GO:0016740],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01569}.,,,3
Q8DSI8,Q8DSI8,unreviewed,Q8DSI8_STRMU,Ribosomal silencing factor RsfS,Ribosomal silencing factor RsfS,rsfS SMU_1797c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),117,cytosolic ribosome assembly [GO:0042256]; negative regulation of ribosome biogenesis [GO:0090071]; negative regulation of translation [GO:0017148],cytoplasm [GO:0005737],ribosomal large subunit binding [GO:0043023],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01477}.,,,2
Q8DWG1,Q8DWG1,reviewed,PYRG_STRMU,CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase),CTP synthase ,pyrG SMU_97,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),536,'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]; pyrimidine nucleobase biosynthetic process [GO:0019856],cytosol [GO:0005829],ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872],,,,,4
Q8DT28,Q8DT28,unreviewed,Q8DT28_STRMU,"Maltose/maltodextrin ABC transporter, sugar-binding protein MalX","Maltose/maltodextrin ABC transporter, sugar-binding protein MalX",malX SMU_1568,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),415,maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768],"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]",maltose binding [GO:1901982],,,,,1
Q8DSG4,Q8DSG4,reviewed,GATC_STRMU,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-),Aspartyl/glutamyl-tRNA,gatC SMU_1821c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),100,glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; regulation of translational fidelity [GO:0006450]; translation [GO:0006412],,asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567],,,,,3
Q8DST5,Q8DST5,unreviewed,Q8DST5_STRMU,cysteine-S-conjugate beta-lyase (EC 4.4.1.13),cysteine-S-conjugate beta-lyase ,metC SMU_1674,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),387,biosynthetic process [GO:0009058],,lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483],,,,,2
